Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot2,"Waffle",normal,65,Completed,"Power Station","Power Station: Objective #2","2","00:05:04","00:05:23",
Bot2,"Waffle",normal,65,Completed,"Power Station","Power Station: Objective #1","3","00:05:28","00:06:11",
Bot2,"Waffle",normal,65,Completed,"Power Station Switch","Power Station Switch: Objective #1","2","00:06:16","00:07:08",
Bot2,"Waffle",normal,65,Completed,"IDEA Office","IDEA Office: Objective #3","1","00:07:13","00:10:05",
Bot2,"Waffle",normal,65,Pending,"IDEA Office","IDEA Office: Objective #2","3","00:10:10","N/A",
Bot1,"JaydanCan",normal,25,Failed,"Minibus","Zone place_merch_21_3","1","00:05:04","00:09:18",
Bot3,"Junko Space Mommy",normal,23,Pending,"The Blood of War - Part 1","Zone place_WARBLOOD_04_3","1","00:05:04","N/A",
Bot6,"Ninjaweb",normal,66,Active,"OLI NE Office","OLI NE Office: Objective #1","1","00:05:06","N/A",
Bot7,"Mihai",normal,16,Pending,"Database - Part 1","Item OLI cargo manifests","1","00:05:06","N/A",
Bot9,"Helldiver",normal,27,Pending,"The Blood of War - Part 1","Zone place_WARBLOOD_04_2","1","00:05:07","N/A",
Bot8,"SlejmUr",normal,31,Completed,"Railway Area","Railway Area: Objective #4","1","00:05:08","00:05:42",
Bot8,"SlejmUr",normal,31,Completed,"Railway Area","Railway Area: Objective #3","1","00:05:48","00:06:56",
Bot8,"SlejmUr",normal,31,Pending,"Railway Area","Railway Area: Objective #2","1","00:07:01","N/A",
Bot8,"SlejmUr",normal,31,Completed,"Railway Area","Railway Area: Objective #1","1","00:07:57","00:08:14",
Bot8,"SlejmUr",normal,31,Active,"The Key to Success","Item Clothes design handbook - Part 2","1","00:08:19","N/A",
Bot16,"Веня Менеджер (OutsiderH)",normal,4,Failed,"Techlight","Techlight: Objective #1","1","00:06:21","00:09:06",
