Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Capataina",normal,52,Completed,"Bridge Road Intersection","Bridge Road Intersection: Objective #1","1","03:05:04","03:05:28",
Bot1,"Capataina",normal,52,Completed,"Lost Contact","Zone qlight_find_scav_group1","1","03:05:33","03:10:51",
Bot1,"Capataina",normal,52,Completed,"Network Provider - Part 2","Zone meh_42_radio_area_mark_2","1","03:10:56","03:15:14",
Bot1,"Capataina",normal,52,Active,"Network Provider - Part 2","Zone meh_42_radio_area_mark_4","1","03:15:19","N/A",
Bot2,"Crow",normal,69,Failed,"Key to the Tower","Item Radio transmitter body","1","03:05:04","03:07:36",
Bot3,"RedBeard",normal,21,Failed,"Broadcast - Part 1","Zone qlight_extension_mechanik1_exploration1","1","03:05:04","03:08:49",
Bot5,"Шура Винторез (MechanicMan396)",normal,4,Completed,"Long Road Bus Crash","Long Road Bus Crash: Objective #1","1","03:05:09","03:07:03",
Bot5,"Шура Винторез (MechanicMan396)",normal,4,Completed,"Tennis Courts","Tennis Courts: Objective #3","1","03:07:08","03:08:46",
Bot5,"Шура Винторез (MechanicMan396)",normal,4,Completed,"Tennis Courts","Tennis Courts: Objective #1","1","03:08:51","03:09:17",
Bot5,"Шура Винторез (MechanicMan396)",normal,4,Completed,"Chalet","Chalet: Objective #9","1","03:09:22","03:09:48",
Bot5,"Шура Винторез (MechanicMan396)",normal,4,Completed,"Chalet","Chalet: Objective #2","1","03:09:53","03:10:40",
Bot5,"Шура Винторез (MechanicMan396)",normal,4,Completed,"Chalet","Chalet: Objective #5","1","03:10:45","03:11:35",
Bot5,"Шура Винторез (MechanicMan396)",normal,4,Completed,"Chalet","Chalet: Objective #7","1","03:11:40","03:11:48",
Bot5,"Шура Винторез (MechanicMan396)",normal,4,Completed,"Chalet","Chalet: Objective #3","1","03:11:53","03:12:42",
Bot5,"Шура Винторез (MechanicMan396)",normal,4,Completed,"Chalet","Chalet: Objective #6","1","03:12:47","03:13:35",
Bot5,"Шура Винторез (MechanicMan396)",normal,4,Completed,"Chalet","Chalet: Objective #4","1","03:13:40","03:14:21",
Bot5,"Шура Винторез (MechanicMan396)",normal,4,Failed,"Chalet","Chalet: Objective #8","1","03:14:27","03:14:45",
Bot14,"PreyToLive",normal,42,Completed,"Boss Hunter","Spawn Point (-116.1 17.8 -32.1)","1","03:05:32","03:05:53",
Bot14,"PreyToLive",normal,42,Active,"Boss Hunter","Spawn Point (-84.9 17.0 20.1)","1","03:05:58","N/A",
Bot15,"Carl",normal,62,Pending,"Network Provider - Part 2","Zone meh_42_radio_area_mark_2","1","03:05:32","N/A",
