Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot48,"Dirtbikercj",normal,25,Failed,"Back Door","Zone mechanik_exit_area_1","1","18:58:12","18:58:12",
Bot48,"Dirtbikercj",normal,25,Completed,"Classified Technologies","Item T-90M Commander Control Panel","1","18:58:17","18:58:40",
Bot48,"Dirtbikercj",normal,25,Failed,"A Fuel Matter","Zone baraholshik_fuel_area_2","1","18:58:45","19:04:02",
Bot49,"rozema",normal,71,Failed,"Black Bishop Tech Room","Black Bishop Tech Room: Objective #1","1","18:58:13","19:04:56",
Bot52,"MoxoPixel",normal,22,Failed,"Revision - Reserve","Zone tadeush_bmp2_area_check_12","1","18:58:16","19:01:03",
Bot52,"MoxoPixel",normal,22,Failed,"Revision - Reserve","Zone tadeush_bmp2_area_mark_12","1","18:59:42","19:01:03",
Bot52,"MoxoPixel",normal,22,Failed,"Revision - Reserve","Zone tadeush_bmp2_area_check_11","1","19:00:02","19:01:03",
Bot56,"Kilgor616",normal,71,Failed,"Command Center Rush","Command Center Rush: Objective #2","1","18:58:20","19:07:58",
Bot57,"NugentGL",normal,8,Failed,"Black Pawn","Black Pawn: Objective #5","1","18:58:21","19:00:13",
Bot59,"Ratthew",normal,42,Failed,"Documents","Item Military documents #1","1","18:58:23","18:59:07",
Bot60,"weardo98",normal,74,Failed,"BMP #1 Tower","BMP #1 Tower: Objective #1","1","18:58:24","19:00:31",
Bot60,"weardo98",normal,74,Failed,"Black Bishop Tech Room","Black Bishop Tech Room: Objective #1","1","18:59:07","19:00:31",
Bot61,"BrandoTheDev",normal,64,Active,"BMP #1","BMP #1: Objective #1","1","18:58:25","N/A",
Bot66,"Klinical",normal,30,Failed,"Documents","Item Military documents #1","1","18:58:31","19:00:12",
Bot67,"Cheese",normal,62,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","18:58:31","19:04:35",
Bot68,"RedBeard",normal,13,Failed,"Black Bishop","Black Bishop: Objective #3","1","18:58:32","18:58:32",
Bot68,"RedBeard",normal,13,Failed,"Black Bishop","Black Bishop: Objective #2","1","18:58:38","18:58:38",
Bot68,"RedBeard",normal,13,Failed,"Black Bishop","Black Bishop: Objective #8","1","18:58:43","19:04:51",
