Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot55,"kwebber321",normal,1,Completed,"TerraGroup Office","TerraGroup Office: Objective #1","1","21:33:38","21:35:42",
Bot55,"kwebber321",normal,1,Completed,"TerraGroup Office","TerraGroup Office: Objective #2","1","21:35:48","21:36:09",
Bot55,"kwebber321",normal,1,Completed,"TerraGroup Office","TerraGroup Office: Objective #5","1","21:36:14","21:36:48",
Bot55,"kwebber321",normal,1,Completed,"TerraGroup Office","TerraGroup Office: Objective #4","1","21:36:53","21:37:13",
Bot55,"kwebber321",normal,1,Completed,"TerraGroup Office","TerraGroup Office: Objective #3","1","21:37:18","21:37:29",
Bot55,"kwebber321",normal,1,Completed,"TerraGroup Office","TerraGroup Office: Objective #6","1","21:37:34","21:37:48",
Bot55,"kwebber321",normal,1,Failed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","21:37:53","21:38:02",
Bot55,"kwebber321",normal,1,Failed,"Saving the Mole","Item TerraGroup scientist's hard drive","1","21:38:07","21:38:15",
Bot55,"kwebber321",normal,1,Failed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","21:38:20","21:38:41",
Bot55,"kwebber321",normal,1,Completed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","21:38:46","21:39:06",
Bot55,"kwebber321",normal,1,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","21:39:11","21:41:04",
Bot55,"kwebber321",normal,1,Completed,"Luxurious Life","Item Bottle of Le Jean wine","1","21:41:09","21:41:50",
Bot55,"kwebber321",normal,1,Completed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","21:41:55","21:43:23",
Bot56,"gaylatea",normal,3,Completed,"Underground North","Underground North: Objective #5","1","21:33:38","21:34:22",
Bot56,"gaylatea",normal,3,Completed,"Underground North","Underground North: Objective #4","2","21:34:28","21:35:03",
Bot56,"gaylatea",normal,3,Completed,"Underground North","Underground North: Objective #3","1","21:35:08","21:35:21",
Bot56,"gaylatea",normal,3,Completed,"Underground North","Underground North: Objective #6","1","21:35:27","21:35:33",
Bot56,"gaylatea",normal,3,Completed,"Underground North","Underground North: Objective #8","1","21:35:38","21:36:17",
Bot56,"gaylatea",normal,3,Completed,"Underground North","Underground North: Objective #7","2","21:36:22","21:37:14",
Bot56,"gaylatea",normal,3,Completed,"Underground North","Underground North: Objective #1","1","21:37:19","21:37:41",
Bot56,"gaylatea",normal,3,Completed,"Underground North","Underground North: Objective #2","1","21:37:46","21:37:52",
Bot56,"gaylatea",normal,3,Failed,"First in Line","Zone Sandbox_1_MedicalArea_exploration","1","21:37:57","21:38:30",
Bot56,"gaylatea",normal,3,Failed,"Underground Utility Room","Underground Utility Room: Objective #1","1","21:38:35","21:39:05",
Bot56,"gaylatea",normal,3,Completed,"Luxurious Life","Zone Sandbox_3_Vino_exploration","1","21:39:10","21:39:23",
Bot56,"gaylatea",normal,3,Completed,"Luxurious Life","Item Bottle of Le Jean wine","1","21:39:28","21:39:42",
Bot56,"gaylatea",normal,3,Failed,"Saving the Mole","Item TerraGroup scientist's hard drive","1","21:39:47","21:41:19",
Bot56,"gaylatea",normal,3,Failed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","21:41:24","21:41:37",
Bot56,"gaylatea",normal,3,Failed,"Saving the Mole","Zone Sandbox_5_Laborant_exploration","1","21:41:42","21:41:58",
Bot56,"gaylatea",normal,3,Completed,"Saving the Mole","Zone Sandbox_5_DeadGroup_exploration","1","21:42:03","21:42:21",
Bot56,"gaylatea",normal,3,Completed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","21:42:26","21:49:49",
Bot56,"gaylatea",normal,3,Failed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","21:49:54","21:53:04",
Bot57,"Kilgor616",normal,9,Failed,"Luxurious Life","Item Bottle of Le Jean wine","1","21:33:38","21:50:38",
Bot58,"红衣抚琴染绛天涯",easy,5,Completed,"Shooting Cans","Zone Sandbox_2_Kord_exploration","1","21:33:38","21:35:29",
Bot58,"红衣抚琴染绛天涯",easy,5,Completed,"Shooting Cans","Zone Sandbox_2_AGS_exploration","1","21:35:34","21:38:11",
Bot58,"红衣抚琴染绛天涯",easy,5,Failed,"Saving the Mole","Zone Sandbox_5_Office_exploration","1","21:38:16","21:39:04",
