Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"3371",easy,8,Pending,"West Cottage","West Cottage: Objective #1","2","04:59:37","N/A",
Bot1,"3371",easy,8,Active,"Village","Village: Objective #5","1","05:01:26","N/A",
Bot2,"Senko",easy,13,Pending,"The Cult - Part 1","Zone place_peacemaker_007_1_N1","1","04:59:38","N/A",
Bot3,"savid_dubs",easy,15,Failed,"Smuggler's Base Lower","Smuggler's Base Lower: Objective #1","1","04:59:38","05:00:18",
Bot3,"savid_dubs",easy,15,Completed,"Smuggler's Base Lower","Smuggler's Base Lower: Objective #2","1","05:00:24","05:00:39",
Bot3,"savid_dubs",easy,15,Completed,"Smuggler's Base Lower","Smuggler's Base Lower: Objective #3","1","05:00:44","05:00:50",
Bot3,"savid_dubs",easy,15,Completed,"Smuggler's Base Lower","Smuggler's Base Lower: Objective #4","1","05:00:55","05:01:03",
Bot3,"savid_dubs",easy,15,Completed,"Smuggler's Base Lower","Smuggler's Base Lower: Objective #5","1","05:01:08","05:01:24",
Bot3,"savid_dubs",easy,15,Completed,"Smuggler's Base Lower","Smuggler's Base Lower: Objective #6","1","05:01:29","05:01:38",
Bot3,"savid_dubs",easy,15,Completed,"Smuggler's Base Lower","Smuggler's Base Lower: Objective #8","1","05:01:43","05:01:56",
Bot3,"savid_dubs",easy,15,Completed,"Smuggler's Base Lower","Smuggler's Base Lower: Objective #7","1","05:02:01","05:02:10",
Bot3,"savid_dubs",easy,15,Completed,"Smuggler's Base Lower","Smuggler's Base Lower: Objective #9","1","05:02:15","05:02:29",
Bot3,"savid_dubs",easy,15,Completed,"Eagle Eye","Item UAV SAS disk #1","1","05:02:34","05:02:54",
Bot3,"savid_dubs",easy,15,Active,"Eagle Eye","Item UAV SAS disk #2","1","05:02:59","N/A",
Bot4,"Aki-chan",normal,17,Completed,"Signal - Part 3","Zone place_SIGNAL_03_3","1","04:59:38","05:00:17",
Bot4,"Aki-chan",normal,17,Completed,"Signal - Part 3","Zone place_SIGNAL_03_1","1","05:00:23","05:01:50",
Bot4,"Aki-chan",normal,17,Failed,"Signal - Part 3","Zone place_SIGNAL_03_2","1","05:01:55","05:02:27",
Bot5,"Shiro-chan",hard,7,Completed,"Power Station Sniping 2","Power Station Sniping 2: Objective #1","2","04:59:43","05:01:44",
Bot5,"Shiro-chan",hard,7,Active,"Power Station Sniping","Power Station Sniping: Objective #1","2","05:01:49","N/A",
Bot8,"Hubert",normal,9,Pending,"Resort West Wing 1st Floor","Resort West Wing 1st Floor: Objective #1","1","04:59:49","N/A",
Bot7,"Hobbes",normal,23,Failed,"Health Care Privacy - Part 2","Item Secure Folder 0060","1","04:59:50","05:01:18",
Bot7,"Hobbes",normal,23,Failed,"Cargo X - Part 1","Item Toughbook reinforced laptop","1","05:01:23","05:01:55",
Bot7,"Hobbes",normal,23,Completed,"Rigged Game","Zone skier_022_area_1","2","05:02:00","05:03:15",
Bot7,"Hobbes",normal,23,Active,"Rigged Game","Zone skier_022_area_2","1","05:03:20","N/A",
Bot10,"GGaulin",hard,7,Pending,"Pier Sniping","Pier Sniping: Objective #1","1","04:59:59","N/A",
Bot12,"bitwarrior",hard,11,Pending,"Humanitarian Supplies","Zone place_peacemaker_005_N2","1","05:00:00","N/A",
Bot13,"Doge",hard,7,Pending,"Gas Station Sniping 2","Gas Station Sniping 2: Objective #1","1","05:00:00","N/A",
Bot11,"captainfoam",hard,13,Pending,"Fishing Gear","Zone place_peacemaker_001","1","05:00:00","N/A",
