Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot3,"Тихон Табурет (CWX)",easy,1,Completed,"Lexos Offices","Lexos Offices: Objective #4","1","23:30:32","23:30:58",
Bot3,"Тихон Табурет (CWX)",easy,1,Completed,"Lexos Offices","Lexos Offices: Objective #1","1","23:31:04","23:31:10",
Bot3,"Тихон Табурет (CWX)",easy,1,Failed,"Lexos Offices","Lexos Offices: Objective #5","1","23:31:16","23:31:16",
Bot3,"Тихон Табурет (CWX)",easy,1,Completed,"Lexos Offices","Lexos Offices: Objective #3","1","23:31:21","23:31:34",
Bot3,"Тихон Табурет (CWX)",easy,1,Failed,"Lexos Offices","Lexos Offices: Objective #2","1","23:31:39","23:31:57",
Bot3,"Тихон Табурет (CWX)",easy,1,Completed,"Lexos Offices","Lexos Offices: Objective #6","1","23:32:02","23:32:15",
Bot3,"Тихон Табурет (CWX)",easy,1,Completed,"Lexos South Entry","Lexos South Entry: Objective #6","1","23:32:20","23:32:28",
Bot3,"Тихон Табурет (CWX)",easy,1,Completed,"Lexos South Entry","Lexos South Entry: Objective #5","1","23:32:33","23:32:45",
Bot3,"Тихон Табурет (CWX)",easy,1,Completed,"Lexos South Entry","Lexos South Entry: Objective #4","1","23:32:51","23:32:59",
Bot3,"Тихон Табурет (CWX)",easy,1,Completed,"Lexos South Entry","Lexos South Entry: Objective #3","1","23:33:04","23:33:18",
Bot3,"Тихон Табурет (CWX)",easy,1,Completed,"Lexos South Entry","Lexos South Entry: Objective #2","1","23:33:23","23:33:33",
Bot3,"Тихон Табурет (CWX)",easy,1,Completed,"Lexos South Entry","Lexos South Entry: Objective #1","1","23:33:38","23:33:51",
Bot3,"Тихон Табурет (CWX)",easy,1,Completed,"Lexos South Entry","Lexos South Entry: Objective #7","1","23:33:56","23:34:00",
Bot3,"Тихон Табурет (CWX)",easy,1,Completed,"Lexos Center","Lexos Center: Objective #3","1","23:34:05","23:34:21",
Bot3,"Тихон Табурет (CWX)",easy,1,Completed,"Lexos Center","Lexos Center: Objective #2","1","23:34:26","23:34:30",
Bot3,"Тихон Табурет (CWX)",easy,1,Active,"Lexos Center","Lexos Center: Objective #1","1","23:34:35","N/A",
Bot4,"pitAlex",easy,1,Failed,"IT Firm Office","IT Firm Office: Objective #9","1","23:30:33","23:35:02",
Bot12,"TimmyGG",hard,8,Completed,"World of Childhood Sniping","World of Childhood Sniping: Objective #1","1","23:34:37","23:34:40",
Bot12,"TimmyGG",hard,8,Failed,"World of Childhood Sniping","World of Childhood Sniping: Objective #2","4","23:34:45","23:43:34",
Bot12,"TimmyGG",hard,8,Completed,"Mall Storage and Construction Rear","Mall Storage and Construction Rear: Objective #2","1","23:42:59","23:42:59",
Bot12,"TimmyGG",hard,8,Failed,"Mall Storage and Construction Rear","Mall Storage and Construction Rear: Objective #1","1","23:43:04","23:43:34",
Bot13,"王哈桑ザ",normal,22,Completed,"Checkannaya 15 Upstairs","Checkannaya 15 Upstairs: Objective #2","2","23:36:26","23:39:12",
Bot13,"王哈桑ザ",normal,22,Completed,"Checkannaya 15 Upstairs","Checkannaya 15 Upstairs: Objective #3","1","23:39:17","23:40:14",
Bot13,"王哈桑ザ",normal,22,Completed,"Checkannaya 15 Upstairs","Checkannaya 15 Upstairs: Objective #1","1","23:40:19","23:40:30",
Bot13,"王哈桑ザ",normal,22,Completed,"Checkannaya 15 Upstairs","Checkannaya 15 Upstairs: Objective #4","1","23:40:35","23:41:13",
Bot13,"王哈桑ザ",normal,22,Archived,"Checkannaya 15","Checkannaya 15: Objective #5","1","23:41:18","23:41:35",
Bot13,"王哈桑ザ",normal,22,Archived,"Checkannaya 15","Checkannaya 15: Objective #7","1","23:41:40","23:41:49",
Bot13,"王哈桑ザ",normal,22,Archived,"Checkannaya 15","Checkannaya 15: Objective #4","1","23:41:54","23:41:58",
Bot13,"王哈桑ザ",normal,22,Archived,"Checkannaya 15","Checkannaya 15: Objective #6","1","23:42:03","23:42:10",
Bot13,"王哈桑ザ",normal,22,Archived,"Checkannaya 15","Checkannaya 15: Objective #3","1","23:42:15","23:42:18",
Bot13,"王哈桑ザ",normal,22,Archived,"Checkannaya 15","Checkannaya 15: Objective #2","1","23:42:23","23:42:33",
Bot13,"王哈桑ザ",normal,22,Archived,"Checkannaya 15","Checkannaya 15: Objective #1","1","23:42:38","23:42:51",
Bot13,"王哈桑ザ",normal,22,Archived,"Checkannaya 15","Checkannaya 15: Objective #8","1","23:42:56","23:43:26",
Bot13,"王哈桑ザ",normal,22,Completed,"Lexos Center","Lexos Center: Objective #1","1","23:43:31","23:44:32",
Bot13,"王哈桑ザ",normal,22,Completed,"Lexos Center","Lexos Center: Objective #2","1","23:44:38","23:44:55",
Bot13,"王哈桑ザ",normal,22,Completed,"Lexos Center","Lexos Center: Objective #3","1","23:45:00","23:45:13",
Bot13,"王哈桑ザ",normal,22,Failed,"Lexos Center","Lexos Center: Objective #4","1","23:45:18","23:45:21",
Bot13,"王哈桑ザ",normal,22,Completed,"Lexos Center","Lexos Center: Objective #5","1","23:45:26","23:46:29",
Bot13,"王哈桑ザ",normal,22,Completed,"Lexos South Entry","Lexos South Entry: Objective #7","1","23:46:34","23:46:42",
Bot13,"王哈桑ザ",normal,22,Completed,"Lexos South Entry","Lexos South Entry: Objective #2","1","23:46:47","23:46:57",
Bot13,"王哈桑ザ",normal,22,Completed,"Lexos South Entry","Lexos South Entry: Objective #1","1","23:47:02","23:47:09",
Bot13,"王哈桑ザ",normal,22,Completed,"Lexos South Entry","Lexos South Entry: Objective #3","1","23:47:14","23:47:18",
Bot13,"王哈桑ザ",normal,22,Completed,"Lexos South Entry","Lexos South Entry: Objective #4","1","23:47:23","23:47:33",
Bot13,"王哈桑ザ",normal,22,Completed,"Lexos South Entry","Lexos South Entry: Objective #5","1","23:47:38","23:47:44",
Bot13,"王哈桑ザ",normal,22,Completed,"Lexos South Entry","Lexos South Entry: Objective #6","1","23:47:49","23:47:54",
Bot13,"王哈桑ザ",normal,22,Completed,"Sparja","Sparja: Objective #4","1","23:47:59","23:49:35",
Bot13,"王哈桑ザ",normal,22,Completed,"Sparja","Sparja: Objective #3","1","23:49:40","23:49:45",
Bot13,"王哈桑ザ",normal,22,Failed,"Sparja","Sparja: Objective #6","1","23:49:50","23:49:55",
Bot13,"王哈桑ザ",normal,22,Completed,"Sparja","Sparja: Objective #5","1","23:50:00","23:50:15",
Bot13,"王哈桑ザ",normal,22,Completed,"Sparja","Sparja: Objective #1","1","23:50:20","23:50:35",
Bot13,"王哈桑ザ",normal,22,Completed,"Sparja","Sparja: Objective #2","1","23:50:40","23:51:19",
Bot13,"王哈桑ザ",normal,22,Active,"Lexos North Entry","Lexos North Entry: Objective #1","1","23:51:24","N/A",
Bot14,"ANIME",normal,6,Pending,"West Car Garage Bag","West Car Garage Bag: Objective #1","1","23:36:27","N/A",
Bot17,"Мишган Дотер (IhanaMies)",normal,1,Failed,"Census Building","Census Building: Objective #3","1","23:36:53","23:36:53",
Bot17,"Мишган Дотер (IhanaMies)",normal,1,Failed,"Census Building","Census Building: Objective #5","1","23:36:58","23:37:02",
Bot17,"Мишган Дотер (IhanaMies)",normal,1,Failed,"Census Building","Census Building: Objective #1","1","23:37:07","23:37:12",
Bot17,"Мишган Дотер (IhanaMies)",normal,1,Failed,"Census Building","Census Building: Objective #4","1","23:37:17","23:37:27",
Bot17,"Мишган Дотер (IhanaMies)",normal,1,Failed,"Census Building","Census Building: Objective #2","1","23:37:32","23:37:32",
Bot17,"Мишган Дотер (IhanaMies)",normal,1,Failed,"Primorksy 48 Bridge","Primorksy 48 Bridge: Objective #1","1","23:37:37","23:37:39",
Bot17,"Мишган Дотер (IhanaMies)",normal,1,Failed,"Post Office","Post Office: Objective #1","1","23:37:41","23:37:41",
Bot17,"Мишган Дотер (IhanaMies)",normal,1,Failed,"Post Office","Post Office: Objective #2","1","23:37:47","23:37:50",
Bot15,"lualeet",hard,6,Failed,"Pinewood Hotel Dentist","Pinewood Hotel Dentist: Objective #5","1","23:36:53","23:45:52",
Bot16,"Snofielf",hard,3,Failed,"Pinewood Hotel Sparja","Pinewood Hotel Sparja: Objective #3","1","23:36:53","23:44:39",
Bot18,"TGDelta2455",normal,12,Completed,"Lexos Center","Lexos Center: Objective #5","1","23:38:29","23:38:46",
Bot18,"TGDelta2455",normal,12,Completed,"Lexos Center","Lexos Center: Objective #3","1","23:38:51","23:39:08",
Bot18,"TGDelta2455",normal,12,Failed,"Lexos Center","Lexos Center: Objective #4","1","23:39:13","23:39:15",
Bot18,"TGDelta2455",normal,12,Completed,"Lexos Center","Lexos Center: Objective #1","1","23:39:20","23:39:32",
Bot18,"TGDelta2455",normal,12,Completed,"Lexos Center","Lexos Center: Objective #2","1","23:39:37","23:39:51",
Bot18,"TGDelta2455",normal,12,Completed,"Sparja","Sparja: Objective #4","1","23:39:56","23:40:43",
Bot18,"TGDelta2455",normal,12,Completed,"Sparja","Sparja: Objective #3","1","23:40:48","23:40:58",
Bot18,"TGDelta2455",normal,12,Failed,"Sparja","Sparja: Objective #6","1","23:41:03","23:41:09",
Bot18,"TGDelta2455",normal,12,Completed,"Sparja","Sparja: Objective #5","1","23:41:14","23:41:22",
Bot18,"TGDelta2455",normal,12,Completed,"Sparja","Sparja: Objective #1","1","23:41:28","23:41:49",
Bot18,"TGDelta2455",normal,12,Completed,"Sparja","Sparja: Objective #2","1","23:41:54","23:42:35",
Bot18,"TGDelta2455",normal,12,Completed,"Lexos South Entry","Lexos South Entry: Objective #1","1","23:42:40","23:43:45",
Bot18,"TGDelta2455",normal,12,Completed,"Lexos South Entry","Lexos South Entry: Objective #2","1","23:43:50","23:43:55",
Bot18,"TGDelta2455",normal,12,Completed,"Lexos South Entry","Lexos South Entry: Objective #3","1","23:44:00","23:44:17",
Bot18,"TGDelta2455",normal,12,Completed,"Lexos South Entry","Lexos South Entry: Objective #4","1","23:44:22","23:44:30",
Bot18,"TGDelta2455",normal,12,Completed,"Lexos South Entry","Lexos South Entry: Objective #5","1","23:44:35","23:44:44",
Bot18,"TGDelta2455",normal,12,Completed,"Lexos South Entry","Lexos South Entry: Objective #6","1","23:44:49","23:44:53",
Bot18,"TGDelta2455",normal,12,Completed,"Lexos South Entry","Lexos South Entry: Objective #7","1","23:44:58","23:45:09",
Bot18,"TGDelta2455",normal,12,Failed,"Lexos Garage","Lexos Garage: Objective #4","1","23:45:15","23:45:33",
Bot19,"Maxwell the cat",hard,18,Failed,"Terragroup Building","Terragroup Building: Objective #2","1","23:38:40","23:39:03",
Bot19,"Maxwell the cat",hard,18,Completed,"Terragroup Building","Terragroup Building: Objective #1","2","23:39:08","23:39:56",
Bot19,"Maxwell the cat",hard,18,Completed,"Terragroup Building","Terragroup Building: Objective #3","1","23:40:01","23:40:06",
Bot19,"Maxwell the cat",hard,18,Failed,"Terragroup Building","Terragroup Building: Objective #4","1","23:40:12","23:40:23",
Bot19,"Maxwell the cat",hard,18,Completed,"Underpass Stores","Underpass Stores: Objective #1","1","23:40:28","23:40:51",
Bot19,"Maxwell the cat",hard,18,Completed,"Underpass Stores","Underpass Stores: Objective #3","1","23:40:56","23:41:10",
Bot19,"Maxwell the cat",hard,18,Failed,"Underpass Stores","Underpass Stores: Objective #2","1","23:41:15","23:46:43",
