Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"ixcetotis",easy,6,Completed,"Introduction","Item Encrypted message","1","22:29:41","22:30:22",
Bot1,"ixcetotis",easy,6,Failed,"Introduction","Zone huntsman_001","1","22:30:27","22:31:41",
Bot3,"CheekiBreeki",normal,17,Failed,"Gratitude","Zone place_THX_15","1","22:29:45","22:34:19",
Bot4,"Hupfi",hard,2,Completed,"USEC Camp South","USEC Camp South: Objective #2","1","22:29:45","22:30:01",
Bot4,"Hupfi",hard,2,Completed,"USEC Camp South","USEC Camp South: Objective #3","4","22:30:06","22:32:46",
Bot4,"Hupfi",hard,2,Completed,"USEC Camp South","USEC Camp South: Objective #1","3","22:32:51","22:37:10",
Bot4,"Hupfi",hard,2,Pending,"USEC Camp North","USEC Camp North: Objective #4","2","22:37:15","N/A",
Bot6,"Helldiver",hard,21,Completed,"Boss Hunter","Spawn Point (318.8 -8.4 352.1)","1","22:29:50","22:30:12",
Bot6,"Helldiver",hard,21,Completed,"Boss Hunter","Spawn Point (213.5 -14.7 292.0)","1","22:30:18","22:30:43",
Bot6,"Helldiver",hard,21,Failed,"Boss Hunter","Spawn Point (365.3 -13.4 360.1)","1","22:30:48","22:30:48",
Bot6,"Helldiver",hard,21,Completed,"Boss Hunter","Spawn Point (442.5 -17.5 261.2)","1","22:30:53","22:31:27",
Bot6,"Helldiver",hard,21,Completed,"Boss Hunter","Spawn Point (463.7 -12.2 115.7)","1","22:31:32","22:31:56",
Bot6,"Helldiver",hard,21,Completed,"Boss Hunter","Spawn Point (366.8 1.1 0.6)","1","22:32:01","22:32:27",
Bot6,"Helldiver",hard,21,Completed,"Boss Hunter","Spawn Point (443.5 -11.4 84.1)","1","22:32:32","22:32:49",
Bot6,"Helldiver",hard,21,Completed,"Boss Hunter","Spawn Point (366.0 4.4 -8.9)","1","22:32:55","22:33:18",
Bot6,"Helldiver",hard,21,Completed,"Boss Hunter","Spawn Point (457.3 -11.0 97.5)","1","22:33:23","22:33:48",
Bot6,"Helldiver",hard,21,Completed,"Boss Hunter","Spawn Point (472.0 -18.4 229.5)","1","22:33:53","22:34:16",
Bot6,"Helldiver",hard,21,Completed,"Boss Hunter","Spawn Point (218.6 -12.3 279.4)","1","22:34:21","22:35:12",
Bot6,"Helldiver",hard,21,Completed,"Steady Signal","Zone q14_8_4","1","22:35:17","22:35:22",
Bot6,"Helldiver",hard,21,Active,"Steady Signal","Zone q14_8_5","1","22:35:27","N/A",
Bot8,"Ratthew",easy,4,Pending,"Scav Base","Scav Base: Objective #4","1","22:29:54","N/A",
Bot9,"Snofielf",easy,8,Pending,"Scav Base","Scav Base: Objective #4","2","22:29:54","N/A",
Bot7,"Bingus",easy,18,Completed,"Steady Signal","Zone q14_8_5","1","22:29:54","22:31:06",
Bot7,"Bingus",easy,18,Failed,"Steady Signal","Zone q14_8_2","1","22:31:11","22:34:59",
Bot10,"Junko Space Mommy",easy,21,Failed,"Steady Signal","Zone q14_8_5","1","22:29:54","22:35:54",
