Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot52,"Wrecker",easy,13,Failed,"Delivery From the Past","Item Secure Folder 0022","1","00:49:55","00:51:34",
Bot52,"Wrecker",easy,13,Completed,"Golden Swag","Zone extraction_zone_zibbo","2","00:51:39","00:55:38",
Bot52,"Wrecker",easy,13,Active,"Golden Swag","Item Golden Zibbo lighter","1","00:55:43","N/A",
Bot51,"VirtualHex",easy,5,Completed,"Big Red Rush","Big Red Rush: Objective #1","1","00:49:55","00:50:31",
Bot51,"VirtualHex",easy,5,Failed,"North Shack by Big Red","North Shack by Big Red: Objective #1","1","00:50:36","00:50:41",
Bot54,"Basuro",easy,1,Pending,"Big Red Rush","Big Red Rush: Objective #1","1","00:49:56","N/A",
Bot53,"DannyR121",easy,17,Completed,"Storage","Storage: Objective #5","1","00:49:56","00:50:01",
Bot53,"DannyR121",easy,17,Pending,"Storage","Storage: Objective #4","1","00:50:06","N/A",
Bot55,"Terkoiz",easy,23,Completed,"Storage","Storage: Objective #5","1","00:49:56","00:49:59",
Bot55,"Terkoiz",easy,23,Failed,"Storage","Storage: Objective #4","1","00:50:04","01:03:00",
Bot62,"Miraki",easy,20,Failed,"Golden Swag","Zone extraction_zone_zibbo","1","00:49:56","00:50:57",
Bot63,"Hobbes",easy,8,Failed,"Delivery From the Past","Item Secure Folder 0022","1","00:49:56","00:51:57",
Bot65,"Пуш Русь (老人)",normal,1,Completed,"Bus Terminal","Bus Terminal: Objective #1","1","00:50:00","00:50:17",
Bot65,"Пуш Русь (老人)",normal,1,Failed,"Power Switch","Power Switch: Objective #1","1","00:50:22","00:51:27",
Bot65,"Пуш Русь (老人)",normal,1,Completed,"New Gas","New Gas: Objective #1","1","00:51:28","00:51:59",
Bot65,"Пуш Русь (老人)",normal,1,Failed,"New Gas","New Gas: Objective #2","1","00:52:04","00:52:19",
Bot65,"Пуш Русь (老人)",normal,1,Completed,"New Gas","New Gas: Objective #3","1","00:52:24","00:52:39",
Bot65,"Пуш Русь (老人)",normal,1,Completed,"Substation","Substation: Objective #5","1","00:52:44","00:54:31",
Bot65,"Пуш Русь (老人)",normal,1,Completed,"Substation","Substation: Objective #4","1","00:54:36","00:54:46",
Bot65,"Пуш Русь (老人)",normal,1,Completed,"Substation","Substation: Objective #3","1","00:54:51","00:55:05",
Bot65,"Пуш Русь (老人)",normal,1,Active,"Substation","Substation: Objective #2","1","00:55:10","N/A",
Bot72,"Лев Сгущёнка (Fontaine)",hard,1,Completed,"Factory Shacks","Factory Shacks: Objective #1","1","00:53:04","00:53:37",
Bot72,"Лев Сгущёнка (Fontaine)",hard,1,Failed,"Dorms 2 Story","Dorms 2 Story: Objective #9","1","00:53:42","00:56:18",
Bot75,"Иржан Покоцаный (Bepis)",easy,1,Pending,"Crackhouse","Crackhouse: Objective #7","1","00:53:06","N/A",
Bot91,"Ваня Костыль (McDewgle)",normal,1,Completed,"Smokestack","Smokestack: Objective #3","1","01:00:11","01:01:00",
Bot91,"Ваня Костыль (McDewgle)",normal,1,Failed,"Smokestack","Smokestack: Objective #2","1","01:01:05","01:01:29",
Bot91,"Ваня Костыль (McDewgle)",normal,1,Failed,"New Gas","New Gas: Objective #1","1","01:01:34","01:02:30",
Bot91,"Ваня Костыль (McDewgle)",normal,1,Failed,"New Gas","New Gas: Objective #2","1","01:02:35","01:02:53",
Bot91,"Ваня Костыль (McDewgle)",normal,1,Active,"New Gas","New Gas: Objective #3","1","01:02:59","N/A",
