Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot23,"Nightingale",normal,13,Failed,"3rd Floor Hallway","3rd Floor Hallway: Objective #1","1","16:21:43","16:22:23",
Bot24,"gansik",normal,63,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","16:21:45","16:22:50",
Bot25,"TechHappy",normal,19,Failed,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #1","2","16:21:46","16:24:21",
Bot25,"TechHappy",normal,19,Failed,"3rd Floor Office Rush","3rd Floor Office Rush: Objective #2","1","16:24:22","16:24:22",
Bot25,"TechHappy",normal,19,Failed,"1st Floor Office","1st Floor Office: Objective #2","1","16:24:22","16:24:22",
Bot25,"TechHappy",normal,19,Failed,"1st Floor Office","1st Floor Office: Objective #1","1","16:24:28","16:25:32",
Bot26,"ANIME",normal,52,Failed,"NE Crates in Workshop","NE Crates in Workshop: Objective #1","1","16:21:46","16:22:10",
Bot28,"reider123",normal,21,Failed,"Chemical - Part 3","Item Syringe with a chemical","1","16:21:49","16:23:54",
Bot29,"Jeo",normal,75,Failed,"Forklift","Forklift: Objective #1","1","16:21:50","16:23:32",
Bot31,"Пров Ресторатор (T90Commander)",normal,4,Failed,"3rd Floor Office","3rd Floor Office: Objective #1","1","16:22:37","16:23:22",
Bot35,"Альберт Копирайтер (Katto)",normal,4,Completed,"Basement Crates","Basement Crates: Objective #1","1","16:24:48","16:25:57",
Bot35,"Альберт Копирайтер (Katto)",normal,4,Completed,"Basement Crates","Basement Crates: Objective #2","1","16:26:02","16:27:13",
Bot35,"Альберт Копирайтер (Katto)",normal,4,Failed,"Med Tent","Med Tent: Objective #1","1","16:27:18","16:27:45",
Bot38,"savid_dubs",normal,55,Failed,"Boilers","Boilers: Objective #1","1","16:28:10","16:28:38",
Bot41,"Пантелеймон Сладкий (Zurugula)",normal,4,Pending,"Weapon Crate Outside of Forklift","Weapon Crate Outside of Forklift: Objective #1","1","16:28:37","N/A",
